name,nightly cost,category,superhost,url,guests_rental,total cost,reviews
 Cheap but awesome! - B5 Room 1,Price:$25 / night,Private room in Nashville,,/rooms/35917515?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Price:$137 totalShow details,Rating 4.52 out of 5;4.5227 reviews (27)Price:$25 / nightPrice:$137 totalShow details
" Suite 1 ""SUNNY HONEY"" - Clean, Cozy, Warm & Fun!",Price:$39 / night,Private room in Lebanon,SUPERHOST,/rooms/42859283?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,5 guests · 1 bedroom · 2 beds · 1 private bath,Price:$178 totalShow details,Rating 4.81 out of 5;4.8152 reviews (52)Price:$39 / nightPrice:$178 totalShow details
 Downtown Hostel (Coed Shared Dorm),Price:$35 / night,Hotel room in Nashville,SUPERHOST,/rooms/3717911?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,1 guest · 1 bedroom · 8 beds · 7 baths,Price:$138 totalShow details,Rating 4.77 out of 5;4.77639 reviews (639)Price:$35 / nightPrice:$138 totalShow details
 Door on the Left,Price:$32 / night,Private room in Nashville,,/rooms/46901175?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,2 guests · 1 bedroom · 1 bed · 1 shared bath,Price:$146 totalShow details,Price:$32 / nightPrice:$146 totalShow details
 Conveniently located,Price:$29 / night,Private room in Murfreesboro,SUPERHOST,/rooms/42225999?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,1 guest · 1 bedroom · 1 bed · 1.5 shared baths,Price:$132 totalShow details,Rating 5.0 out of 5;5.012 reviews (12)Price:$29 / nightPrice:$132 totalShow details
 Downtown Murfreesboro Restful Retreat,Price:$39 / night,Entire apartment in Murfreesboro,SUPERHOST,/rooms/22064009?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,2 guests · 1 bedroom · 1 bed · 1 bath,Price:$235 totalShow details,Rating 4.81 out of 5;4.81125 reviews (125)Price:$39 / nightPrice:$235 totalShow details
 Clean and cozy space in LaVergne,Price:$35 / night,Private room in La Vergne,,/rooms/41319020?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,3 guests · 1 bedroom · 1 bed · 1 private bath,Price:$160 totalShow details,Rating 4.96 out of 5;4.96102 reviews (102)Price:$35 / nightPrice:$160 totalShow details
 Quiet room in the Heart of Franklin,Price:$38 / night,Private room in Franklin,,/rooms/19674066?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,2 guests · 1 bedroom · 1 bed · 1 private bath,Price:$208 totalShow details,Rating 4.66 out of 5;4.66110 reviews (110)Price:$38 / nightPrice:$208 totalShow details
 todas las comodidades a 5 minutos del downtown,Price:$25 / night,Private room in Nashville,SUPERHOST,/rooms/39343114?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,1 guest · 1 bedroom · 1 bed · 1 shared bath,Price:$126 totalShow details,Rating 4.80 out of 5;4.8015 reviews (15)Price:$25 / nightPrice:$126 totalShow details
 Nice comfortable room with a double futon..,Price:$31 / night,Private room in Franklin,SUPERHOST,/rooms/11923339?check_in=2021-02-28&check_out=2021-03-04&previous_page_section_name=1000&federated_search_id=c52d9704-c3e8-48d7-a3a6-a466f086f2da,2 guests · 1 bedroom · 0 beds · 1 private bath,Price:$154 totalShow details,Rating 5.0 out of 5;5.023 reviews (23)Price:$31 / nightPrice:$154 totalShow details
